"","State","HarrisAvg","TrumpAvg","WeightedSampleSize","Margin","Undecided","HarrisError","TrumpError","HarrisRawWin"
"1","Arizona",46.7186052240529,47.6330723260449,10160.5753968254,-0.914467101991974,5.64832244990224,0.700194759757637,0.700406988281372,"25.69%"
"2","Nevada",47.5665263111267,46.8283754630095,7756.08452380952,0.73815084811713,5.60509822586381,0.80161364436106,0.801389735057293,"67.74%"
"3","North Carolina",47.387347089042,48.0008165408832,16859.9896825397,-0.61346945184112,4.61183637007479,0.543891374399303,0.544084468063664,"28.64%"
"4","Georgia",47.198341360838,48.165493995311,11961.7833333333,-0.967152634472981,4.63616464385096,0.645674656864267,0.64608158212157,"22.70%"
"5","New York",55.3420003340887,40.1991894311943,1934.22222222222,15.1428109028943,4.45881023471701,1.60076203973538,1.59076064705735,"100.00%"
"6","Ohio",43.9761688354104,52.4148427654072,3405.58333333333,-8.4386739299968,3.6089883991824,1.20713522691081,1.21027841799897,"0.02%"
"7","Indiana",40.9523440056336,55.8151647773434,1453.33333333333,-14.8628207717098,3.23249121702302,1.83976483106994,1.84826763029344,"0.00%"
"8","Pennsylvania",47.9272904875222,47.1343090581814,17986.7948412698,0.792981429340784,4.93840045429643,0.526698973051374,0.526479019222165,"77.43%"
"9","US",48.9256884316745,45.2184877104522,253119.578968254,3.70720072122238,5.8558238578733,0.14043444261764,0.140139565779407,"100.00%"
"10","Alaska",42.6934175950314,50.5372176241727,1680,-7.84380002914133,6.76936478079583,1.71585184857174,1.72389728784124,"1.13%"
"11","Wisconsin",48.7300055581622,46.4135364438839,10005.5527777778,2.31646911427825,4.85645799795392,0.706517297169568,0.70528711734844,"94.96%"
"12","Texas",44.9596595781943,50.8006201042765,5963.08333333333,-5.84096052608216,4.23972031752916,0.913116767849387,0.9150616868088,"0.07%"
"13","Michigan",48.0154968569918,46.1412819899106,10582.4861111111,1.87421486708121,5.84322115309752,0.686543911959933,0.685812141140423,"91.40%"
"14","Florida",45.2241313054803,49.2322700698291,6481.23015873016,-4.00813876434871,5.5435986246906,0.875719241110369,0.877870624287148,"1.11%"
"15","Nebraska CD-2",50.7093059963046,42,1669.64285714286,8.70930599630461,7.29069400369538,1.72953620016683,1.71932322220381,"99.42%"
"16","Minnesota",49.2680241337705,43.3345105481876,2679.33492063492,5.93351358558286,7.39746531804191,1.3655994256649,1.35902704511414,"98.53%"
"17","North Dakota",40,50,500,-10,10,3.13016916014657,3.16227766016838,"5.60%"
"18","California",59.3048275337017,34.7238526774202,4009.55357142857,24.5809748562815,5.97131978887818,1.10427977106432,1.08881578953087,"100.00%"
"19","Virginia",50.3627822035693,43.384742419049,2062.13095238095,6.97803978452036,6.25247537738174,1.5558345443909,1.54838315720872,"98.77%"
"20","Nebraska",38.1835768985117,54.7890512656745,614.5,-16.6054743671628,7.02737183581387,2.80986537925555,2.84599920404628,"0.17%"
"21","Maryland",61.9476395488927,32.6542091509079,1682.38095238095,29.2934303979848,5.39815130019935,1.69880150123299,1.66868576143641,"100.00%"
"22","Delaware",54.7467641673959,36.4865996349154,441.5,18.2601645324805,8.76663619768879,3.35726850478805,3.30158599889818,"99.69%"
"23","Rhode Island",53.9731797710734,38.7140679669083,1065.66666666667,15.2591118041652,7.31275226201831,2.16048160126215,2.13749378685077,"99.98%"
"24","Montana",38.9514445166734,55.9214199523023,1021.00396825397,-16.9699754356288,5.12713553102429,2.1852448696475,2.20488127701962,"0.01%"
"25","Massachusetts",60.8134545661891,31.5932727169055,588,29.2201818492836,7.59327271690546,2.87979767178486,2.81058705887027,"100.00%"
"26","New Mexico",48.6278185367734,40.6958476757636,995.00873015873,7.93197086100987,10.676333787463,2.23983854734911,2.21995866736796,"96.23%"
"27","Connecticut",53,37,400,16,10,3.5323476207004,3.47420605384501,"98.88%"
"28","Colorado",53.3015960870186,41.6330409982299,547.166666666667,11.6685550887887,5.06536291475159,3.01904248245165,3.00049750934503,"97.37%"
"29","New Hampshire",51.2265758155856,42.9933845107017,1941.14285714286,8.23319130488394,5.78003967371266,1.60418191167509,1.59661562192149,"99.49%"
"30","Maine",52.0734115277373,39.7559530833576,406.52380952381,12.3174584443797,8.17063538890508,3.50265282834343,3.46687454676063,"96.14%"
"31","Maine CD-1",59.6497741889428,32.4124435472357,400,27.2373306417071,7.93778226382152,3.49811547685069,3.42178474887005,"100.00%"
"32","Maine CD-2",44.8383948766173,46.9725750881305,400,-2.13418021151314,8.18903003525219,3.52395108005227,3.52896396949167,"38.11%"
"33","Missouri",42.3364940761799,53.2657293001042,1039.2380952381,-10.9292352239243,4.39777662371585,2.18007082340577,2.18970552244684,"0.62%"
"34","Iowa",43,47,400,-4,10,3.51808098179768,3.5323476207004,"28.52%"
"35","Arkansas",40,55,400,-15,5,3.49963551158058,3.5266617308487,"1.64%"
"36","Washington",53,32,400,21,15,3.5323476207004,3.41495297034829,"99.87%"
"37","Oklahoma",39.9,56,400,-16.1,4.1,3.4989025451579,3.52273666997561,"1.09%"
"38","Illinois",57.8,42.2,400,15.6,0,3.51382458147584,3.51382458147584,"98.68%"
"39","Tennessee",36.9,63.1,400,-26.2,0,3.47323313582017,3.47323313582017,"0.01%"
"40","West Virginia",34,61,400,-27,5,3.44132522181892,3.49195481045463,"0.00%"
"41","Vermont",67,27,400,40,6,3.42860291452783,3.33151413627671,"100.00%"
"42","Utah",25,51,400,-26,24,3.29018503238123,3.53518029949676,"0.01%"
